dtc_row,outbound_ticket,out_csv_row,material,dtc_net,out_method,out_match,mat_code,yard,ship_date,in_method,in_match,in_csv_row,in_total,consumer,supplier,supplier_class,supplier_check,exception_reason,roster_ok,chase_suppliers
8,1438,274,STEEL TURNING,47660,exact net (linked ticket),1438,TURNSTEEL,Milton,2026-02-28,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
9,1434,267,STEEL TURNING,44420,exact net (linked ticket),1434,TURNSTEEL,Milton,2026-02-27,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
10,1444,271,CLEAN SHEET,18080,exact net (linked ticket),1444,CLSHST,Milton,2026-02-27,NONE,,,,Omni Source,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Champlain Specialty Metals; DAIFUKU WYNRIGHT
14,1426,,STEEL TURNING,46900,ticket NOT in outbound file,,,,,NONE,,,,Padnos,,,,outbound ticket missing from outbound file,Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
18,1410,228,SHEET IRON,32820,exact net (linked ticket),1410,SHIRST,Milton,2026-02-20,NONE,,,,Omni Source,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,DAIFUKU WYNRIGHT
21,1411,229,BUSHELING,27840,exact net (linked ticket),1411,Indbush,Milton,2026-02-20,exact net (outside same-day),#17011,2874,27840,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),inbound ticket -4 business days outside same-day (not stored = should be same day),Y,
32,1368,188,ZZ DO NOT USE STEEL TURNINGS,14140,exact net (linked ticket),1368,FETURN,Milton,2026-02-10,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
34,1365,180,ZZ DO NOT USE STEEL TURNINGS,25760,exact net (linked ticket),1365,FETURN,Milton,2026-02-06,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
36,1386,185,TUNGSTEN MOLY TA INSERTS,263,exact net (linked ticket),1386,TUNGMOTAINS,Milton,2026-02-09,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
37,1386,182,ALUMINUM MLC,366,exact net (linked ticket),1386,ALUMLC,Milton,2026-02-09,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
38,1386,186,17-4 SOLIDS,2706,exact net (linked ticket),1386,174SOLIDS,Milton,2026-02-09,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Complexus Medical - Mishawaka
39,1386,183,ZZ DO NOT USE - ALUMINUM TURNINGS,638,exact net (linked ticket),1386,ALMTRNG,Milton,2026-02-09,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
46,1342,111,ZZ DO NOT USE STEEL TURNINGS,56280,exact net (linked ticket),1342,FETURN,Milton,2026-01-30,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
51,1338,108,ZZ DO NOT USE STEEL TURNINGS,50820,exact net (linked ticket),1338,FETURN,Milton,2026-01-29,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
53,1336,105,SHEET IRON,38140,exact net (linked ticket),1336,SHIRST,Milton,2026-01-29,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,DAIFUKU WYNRIGHT
58,1323,85,SHEET IRON,39200,exact net (linked ticket),1323,SHIRST,Milton,2026-01-20,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,DAIFUKU WYNRIGHT
59,1315,78,ZZ DO NOT USE STEEL TURNINGS,54200,exact net (linked ticket),1315,FETURN,Milton,2026-01-16,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
60,1314,77,ZZ DO NOT USE STEEL TURNINGS,41080,exact net (linked ticket),1314,FETURN,Milton,2026-01-16,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
62,1303,67,ZZ DO NOT USE STEEL TURNINGS,50860,exact net (linked ticket),1303,FETURN,Milton,2026-01-15,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
64,1305,69,ZZ DO NOT USE ALUMINUM BREAKAGE,10500,exact net (linked ticket),1305,ALBRKG,Milton,2026-01-15,NONE,,,,Omni Source,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
65,1301,65,ZZ DO NOT USE STEEL TURNINGS,56280,exact net (linked ticket),1301,FETURN,Milton,2026-01-14,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
67,1297,62,ZZ DO NOT USE STEEL TURNINGS,46520,exact net (linked ticket),1297,FETURN,Milton,2026-01-13,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
72,1328,38,CARBIDE,255,exact net (linked ticket),1328,NICARBD,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
73,1328,33,17-4 SOLIDS,2940,exact net (linked ticket),1328,174SOLIDS,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
75,1328,36,5052 ALUMINUM,974,exact net (linked ticket),1328,AL05052,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Wait Industries
76,1328,39,ZZ DO NOT USE - ALUMINUM TURNINGS,774,exact net (linked ticket),1328,ALMTRNG,Milton,2026-01-10,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Complexus Medical - Mishawaka
77,1328,37,17-4 STAINLESS STEEL TURNINGS,230,exact net (linked ticket),1328,NI174BO,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka; Complexus Medical - Plymouth
78,1286,18,BUSHELING,41480,exact net (linked ticket),1286,Indbush,Milton,2026-01-08,NONE,,,,Omni Source,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Borkholder Metal Fab Plymouth; DAIFUKU WYNRIGHT; Holland Metal Fab; PENZ PRODUCTS; Stellar Industries; Teck Machine
